family,condition,train_eps,rob_lam,eps,n_seeds_present,metric,mean,sd,se,ci_low,ci_high,n_valid
bbb,robust,0.08,0.25,0.07,5,frac_below_tau0.5,0.07200000000000001,0.017888543819998323,0.008000000000000002,0.049792,0.09420800000000001,5
bbb,robust,0.08,0.25,0.07,5,frac_inconclusive_tau0.5,0.06800000000000002,0.04816637831516921,0.02154065922853803,0.008203129981578454,0.12779687001842158,5
bbb,robust,0.08,0.25,0.07,5,frac_robust_tau0.9,0.8240000000000001,0.05176871642217914,0.02315167380558045,0.7597309535157087,0.8882690464842914,5
bbb,robust,0.08,0.25,0.07,5,frac_below_tau0.9,0.092,0.010954451150103326,0.0048989794855663574,0.0784004329480678,0.1055995670519322,5
bbb,robust,0.08,0.25,0.07,5,frac_inconclusive_tau0.9,0.08400000000000003,0.045607017003965515,0.020396078054371138,0.02738048732106576,0.1406195126789343,5
bbb,robust,0.08,0.25,0.07,5,frac_robust_tau0.95,0.0,0.0,0.0,0.0,0.0,5
bbb,robust,0.08,0.25,0.07,5,frac_below_tau0.95,0.092,0.010954451150103326,0.0048989794855663574,0.0784004329480678,0.1055995670519322,5
bbb,robust,0.08,0.25,0.07,5,frac_inconclusive_tau0.95,0.908,0.010954451150103333,0.004898979485566361,0.8944004329480678,0.9215995670519322,5
bbb,robust,0.08,0.25,0.08,5,subset_accuracy_clean,1.0,0.0,0.0,1.0,1.0,5
bbb,robust,0.08,0.25,0.08,5,subset_accuracy_adv,0.908,0.02280350850198274,0.01019803902718556,0.879690243660533,0.9363097563394671,5
bbb,robust,0.08,0.25,0.08,5,subset_misclassification_adv,0.092,0.02280350850198276,0.01019803902718557,0.06369024366053286,0.12030975633946714,5
bbb,robust,0.08,0.25,0.08,5,attack_success_rate,0.092,0.02280350850198276,0.01019803902718557,0.06369024366053286,0.12030975633946714,5
bbb,robust,0.08,0.25,0.08,5,subset_ece_clean,0.0027091457843780474,0.0008638929700091001,0.00038634468124490695,0.0016366529492421857,0.0037816386195139093,5
bbb,robust,0.08,0.25,0.08,5,subset_ece_adv,0.08283411669731137,0.016412592980181547,0.007339934718144359,0.06245845791974264,0.10320977547488011,5
bbb,robust,0.08,0.25,0.08,5,mean_mutual_information_clean,0.00014632471587246784,6.850703276503291e-05,3.063727643988379e-05,6.127563647535044e-05,0.00023137379526958523,5
bbb,robust,0.08,0.25,0.08,5,mean_mutual_information_adv,0.0023841271388516994,0.00028986122949953855,0.0001296298826405271,0.0020242745846415964,0.0027439796930618025,5
bbb,robust,0.08,0.25,0.08,5,mean_mutual_information_delta,0.002237802422979231,0.00031419229953633446,0.0001405110679540439,0.0018477436983388054,0.002627861147619657,5
bbb,robust,0.08,0.25,0.08,5,delta_mutual_information_attack_success,0.005315708512595545,0.005255383471916782,0.0023502789382069565,-0.0012086658198669662,0.011840082845058057,5
bbb,robust,0.08,0.25,0.08,5,delta_mutual_information_attack_failed,0.0018241818117830729,0.00044623550836148026,0.00019956258613408912,0.0012701960726748415,0.0023781675508913044,5
bbb,robust,0.08,0.25,0.08,5,delta_mutual_information_success_gap,0.0034915267008124714,0.005673711751450599,0.0025373610321965862,-0.0035521875245652515,0.010535240926190195,5
bbb,robust,0.08,0.25,0.08,5,mean_one_minus_confidence_clean,0.0027091457843780517,0.0008638929700090977,0.00038634468124490586,0.001636652949242193,0.00378163861951391,5
bbb,robust,0.08,0.25,0.08,5,mean_one_minus_confidence_adv,0.06926004719734193,0.006441973511450139,0.002880938136171106,0.061262562931330936,0.07725753146335292,5
bbb,robust,0.08,0.25,0.08,5,mean_one_minus_confidence_delta,0.06655090141296385,0.006634236721755522,0.0029669208577341407,0.05831472911189388,0.07478707371403383,5
bbb,robust,0.08,0.25,0.08,5,delta_one_minus_confidence_attack_success,0.1764575042327245,0.10026428512007775,0.0448395514487829,0.05198290941090318,0.3009320990545458,5
