comparison_id,architecture,family,seed,eval_split,train_epsilon,rob_lam,robust_config_id,eval_epsilon,subset,score,rho_pessimistic_standard,rho_pessimistic_robust,delta_rho_pessimistic,inverse_alignment_gain_pessimistic,rho_optimistic_standard,rho_optimistic_robust,delta_rho_optimistic,inverse_alignment_gain_optimistic
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,one_minus_confidence,,-0.32913550272472886,,,-0.878793007475987,,,
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,predictive_entropy,,-0.37458206707406094,,,-0.8793568078003491,-0.2051019910451682,0.6742548167551808,-0.6742548167551808
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,predictive_entropy,,-0.32648028834000836,,,-0.8766616762929822,,,
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,expected_entropy,,-0.472373219944442,,,-0.7257855022057035,-0.3619493101474948,0.36383619205820866,-0.36383619205820866
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,expected_entropy,,-0.43614559412169934,,,-0.7267315262863395,-0.3070777355464263,0.4196537907399132,-0.4196537907399132
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,mutual_information,,-0.5139965520251858,,,-0.7085581644529788,-0.38003293614517747,0.32852522830780134,-0.32852522830780134
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,mutual_information,,-0.4777111473869888,,,-0.7087729517463423,-0.31897796792648997,0.3897949838198523,-0.3897949838198523
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,one_minus_confidence,,-0.46178998546403066,,,-0.7195942621213929,-0.3662327377006324,0.35336152442076046,-0.35336152442076046
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,one_minus_confidence,,-0.4214439581242873,,,-0.7203179314200944,-0.3091959528827622,0.4111219785373322,-0.4111219785373322
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,all,predictive_entropy,,-0.472373219944442,,,-0.720863405704925,-0.3619493101474948,0.3589140955574302,-0.3589140955574302
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.07,clean_correct,predictive_entropy,,-0.43614559412169934,,,-0.7216511400677879,-0.3070777355464263,0.41457340452136154,-0.41457340452136154
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.08,all,expected_entropy,,-0.47618028734308515,,,-0.682305699649913,-0.3003098930858453,0.3819958065640676,-0.3819958065640676
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.08,clean_correct,expected_entropy,,-0.44233788173573185,,,-0.686497375264354,-0.22599204267638195,0.460505332587972,-0.460505332587972
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.08,all,mutual_information,,-0.4386871801165457,,,-0.6574006474153369,-0.3403058267073662,0.3170948207079707,-0.3170948207079707
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.08,clean_correct,mutual_information,,-0.3896157629798555,,,-0.6607275348297103,-0.26720502039892857,0.3935225144307817,-0.3935225144307817
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.08,all,one_minus_confidence,,-0.45476380019472024,,,-0.6812351574402183,-0.28178153206498774,0.3994536253752306,-0.3994536253752306
/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/bbb/seed1_eps0p08_lam0p25.json,mlp512x1,bbb,1,val,0.08,0.25,robust_eps0p08_lam0p25,0.08,clean_correct,one_minus_confidence,,-0.41678188953814377,,,-0.6853820839190293,-0.19774716009560406,0.48763492382342527,-0.48763492382342527
