architecture,family,eval_split,training,train_epsilon,rob_lam,config_id,eval_epsilon,subset,score,metric,n_seeds,mean,sd,ci_low,ci_high
mlp512x1,bbb,val,standard,,,standard,0.05,clean_correct,predictive_entropy,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.05,clean_correct,predictive_entropy,rho_optimistic,5,-0.8418488932596248,0.021014623808172466,-0.8679419950780282,-0.8157557914412213
mlp512x1,bbb,val,standard,,,standard,0.07,all,expected_entropy,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.07,all,expected_entropy,rho_optimistic,5,-0.7168375551828322,0.0559426642205677,-0.786299547309113,-0.6473755630565514
mlp512x1,bbb,val,standard,,,standard,0.07,clean_correct,expected_entropy,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.07,clean_correct,expected_entropy,rho_optimistic,5,-0.7168404032048942,0.05971068077670771,-0.7909810058335697,-0.6426998005762187
mlp512x1,bbb,val,standard,,,standard,0.07,all,mutual_information,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.07,all,mutual_information,rho_optimistic,5,-0.6790488110792454,0.07112470123649542,-0.7673617919876006,-0.5907358301708903
mlp512x1,bbb,val,standard,,,standard,0.07,clean_correct,mutual_information,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.07,clean_correct,mutual_information,rho_optimistic,5,-0.6766625449031661,0.07588510253292612,-0.7708863447183018,-0.5824387450880305
mlp512x1,bbb,val,standard,,,standard,0.07,all,one_minus_confidence,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.07,all,one_minus_confidence,rho_optimistic,5,-0.7078733801955989,0.0584036515449872,-0.7803910916826471,-0.6353556687085506
mlp512x1,bbb,val,standard,,,standard,0.07,clean_correct,one_minus_confidence,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.07,clean_correct,one_minus_confidence,rho_optimistic,5,-0.7073230979689282,0.06234169261072103,-0.7847305332707462,-0.6299156626671103
mlp512x1,bbb,val,standard,,,standard,0.07,all,predictive_entropy,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.07,all,predictive_entropy,rho_optimistic,5,-0.711335465358916,0.05750804142090359,-0.7827411299984628,-0.6399298007193692
mlp512x1,bbb,val,standard,,,standard,0.07,clean_correct,predictive_entropy,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.07,clean_correct,predictive_entropy,rho_optimistic,5,-0.7110250977379151,0.06136398504801316,-0.7872185487583472,-0.634831646717483
mlp512x1,bbb,val,standard,,,standard,0.08,all,expected_entropy,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.08,all,expected_entropy,rho_optimistic,5,-0.647411416533592,0.03732818506924259,-0.6937604800523578,-0.6010623530148262
mlp512x1,bbb,val,standard,,,standard,0.08,clean_correct,expected_entropy,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.08,clean_correct,expected_entropy,rho_optimistic,5,-0.6518395114430833,0.039227256785873584,-0.7005465839423968,-0.6031324389437698
mlp512x1,bbb,val,standard,,,standard,0.08,all,mutual_information,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.08,all,mutual_information,rho_optimistic,5,-0.6285365562920927,0.04101267777194179,-0.6794605217514446,-0.5776125908327409
mlp512x1,bbb,val,standard,,,standard,0.08,clean_correct,mutual_information,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.08,clean_correct,mutual_information,rho_optimistic,5,-0.6319545145342467,0.04360108796008734,-0.6860924157368027,-0.5778166133316907
mlp512x1,bbb,val,standard,,,standard,0.08,all,one_minus_confidence,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.08,all,one_minus_confidence,rho_optimistic,5,-0.6442033106543492,0.03857815707855552,-0.6921044194158413,-0.5963022018928571
mlp512x1,bbb,val,standard,,,standard,0.08,clean_correct,one_minus_confidence,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.08,clean_correct,one_minus_confidence,rho_optimistic,5,-0.6484200902082751,0.04051722166893043,-0.6987288656618275,-0.5981113147547227
mlp512x1,bbb,val,standard,,,standard,0.08,all,predictive_entropy,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.08,all,predictive_entropy,rho_optimistic,5,-0.6462146519713948,0.039429125563394674,-0.6951723776641177,-0.597256926278672
mlp512x1,bbb,val,standard,,,standard,0.08,clean_correct,predictive_entropy,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.08,clean_correct,predictive_entropy,rho_optimistic,5,-0.6505718762325723,0.04147710118741474,-0.7020724995268398,-0.5990712529383048
mlp512x1,bbb,val,standard,,,standard,0.1,all,expected_entropy,rho_pessimistic,0,,,,
mlp512x1,bbb,val,standard,,,standard,0.1,all,expected_entropy,rho_optimistic,5,-0.45838873623701926,0.048101321232905954,-0.5181144150779529,-0.39866305739608565
mlp512x1,bbb,val,standard,,,standard,0.1,clean_correct,expected_entropy,rho_pessimistic,0,,,,
