architecture,family,eval_split,training,train_epsilon,rob_lam,config_id,eval_epsilon,subset,score,task,tau,metric,n_seeds,mean,sd,ci_low,ci_high
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,mutual_information,certified_below_threshold,0.9,auroc,3,1.0,0.0,1.0,1.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,mutual_information,certified_below_threshold,0.9,auprc,3,1.0,0.0,1.0,1.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,mutual_information,certified_below_threshold,0.9,prevalence,5,0.012677304964539008,0.011574157905905007,-0.0016939102167487091,0.027048520145826725
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,mutual_information,pgd_failure,,auroc,3,1.0,0.0,1.0,1.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,mutual_information,pgd_failure,,auprc,3,1.0,0.0,1.0,1.0
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,mutual_information,pgd_failure,,prevalence,5,0.0125,0.01141088661469096,-0.00166848709704699,0.026668487097046993
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,one_minus_confidence,certified_below_threshold,0.5,auroc,5,0.8828341813135985,0.055613189193186925,0.8137812864671237,0.9518870761600733
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,one_minus_confidence,certified_below_threshold,0.5,auprc,5,0.6466508342467422,0.08694026987733805,0.5387002311459324,0.754601437347552
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,one_minus_confidence,certified_below_threshold,0.5,prevalence,5,0.05240816326530612,0.010969648786642656,0.03878754529399233,0.06602878123661991
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,one_minus_confidence,certified_below_threshold,0.9,auroc,5,0.8862627197039779,0.05031207965803762,0.8237920217178326,0.9487334176901231
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,one_minus_confidence,certified_below_threshold,0.9,auprc,5,0.6480485974294024,0.08525358518023267,0.5421922899933095,0.7539049048654952
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,one_minus_confidence,certified_below_threshold,0.9,prevalence,5,0.05298639455782313,0.01073743315368196,0.03965411037777673,0.06631867873786952
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,one_minus_confidence,pgd_failure,,auroc,5,0.8785017730496454,0.05107154397134,0.815088075567752,0.9419154705315388
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,one_minus_confidence,pgd_failure,,auprc,5,0.6209243385202464,0.06587527770334604,0.5391293778243265,0.7027192992161664
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,all,one_minus_confidence,pgd_failure,,prevalence,5,0.052000000000000005,0.010954451150103319,0.03839825238683489,0.06560174761316512
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,one_minus_confidence,certified_below_threshold,0.5,auroc,3,0.9929078014184397,0.012284048280630353,0.9623925338315641,1.0234230690053154
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,one_minus_confidence,certified_below_threshold,0.5,auprc,3,0.8333333333333334,0.28867513459481287,0.11622454504175639,1.5504421216249105
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,one_minus_confidence,certified_below_threshold,0.5,prevalence,5,0.012588652482269503,0.011493239593793564,-0.0016820893440740187,0.026859394308613026
mlp512x1,bbb,val,robust,0.08,0.25,robust_eps0p08_lam0p25,0.05,clean_correct,one_minus_confidence,certified_below_threshold,0.9,auroc,3,0.9927536231884058,0.012551092808470117,0.9615749802192067,1.0239322661576047
