level,file,check,detail
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed3_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.1: MAE=0.00406"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.01: MAE=0.00127"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.05: MAE=0.014"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.07: MAE=0.0141"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.08: MAE=0.0067"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.1: MAE=0.00391"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.01: MAE=3.69e-05"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.05: MAE=0.000461"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.07: MAE=0.00116"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.08: MAE=0.00143"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/mc_dropout/seed4_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.1: MAE=0.00378"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.01: MAE=0.00336"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.05: MAE=0.0237"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.07: MAE=0.0136"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.08: MAE=0.00992"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.1: MAE=0.002"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.01: MAE=0.000112"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.05: MAE=0.0028"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.07: MAE=0.00472"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.08: MAE=0.00514"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed0_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.1: MAE=0.00712"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.01: MAE=0.00336"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.05: MAE=0.0245"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.07: MAE=0.0119"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.08: MAE=0.0057"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.1: MAE=0.00169"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.05: MAE=0.00203"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.07: MAE=0.00366"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.08: MAE=0.00302"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed1_eps0p08_lam0p25.json,unknown_mass_identity,"robust, eps=0.1: MAE=0.00633"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed2_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.01: MAE=0.00273"
warning,/home/user/thesis/UncertaintyAndRobustnessInBNNs/runs/mlp512x1/vogn/seed2_eps0p08_lam0p25.json,unknown_mass_identity,"standard, eps=0.05: MAE=0.0229"
